0.000000000000000000e+00 2.000000000000000000e+01 2.000000000000000000e+01 2.000000000000000000e+01 2.000000000000000000e+01 2.400000000000000000e+01
1.000000000000000056e-01 1.999999638130720214e+01 2.000000167876778789e+01 2.000019318997664897e+01 2.000674508420582143e+01 2.397854173751100149e+01
2.000000000000000111e-01 2.000000152475444892e+01 2.000005764589538515e+01 2.000072523154791426e+01 2.001332159932178456e+01 2.395727570481227886e+01
3.000000000000000444e-01 2.000003237870572903e+01 2.000019038326744081e+01 2.000149590926226750e+01 2.001973876530725960e+01 2.393619963570986897e+01
4.000000000000000222e-01 2.000010472970378572e+01 2.000040654310609156e+01 2.000244073618435792e+01 2.002600408116940045e+01 2.391531132259889958e+01
5.000000000000000000e-01 2.000023069368861073e+01 2.000070630727104160e+01 2.000351703013911120e+01 2.003212388461241744e+01 2.389460860629408856e+01
6.000000000000000888e-01 2.000041848557553337e+01 2.000108745677579236e+01 2.000469600533808645e+01 2.003810369403548464e+01 2.387408937029493927e+01
7.000000000000000666e-01 2.000067322199371489e+01 2.000154705155848234e+01 2.000595755092519923e+01 2.004394845916452539e+01 2.385375153544455173e+01
8.000000000000000444e-01 2.000099767344319446e+01 2.000208205919741644e+01 2.000728729137062345e+01 2.004966271011098655e+01 2.383359305639708836e+01
9.000000000000000222e-01 2.000139302770596927e+01 2.000268923927256637e+01 2.000867517344718749e+01 2.005525063639858274e+01 2.381361192000532512e+01
1.000000000000000000e+00 2.000185919292842485e+01 2.000336571397894758e+01 2.001011360554580065e+01 2.006071618179385396e+01 2.379380614217100742e+01
1.100000000000000089e+00 2.000239530322566139e+01 2.000410866982181091e+01 2.001159694539875389e+01 2.006606308703086228e+01 2.377417376248440561e+01
1.200000000000000178e+00 2.000299993333947057e+01 2.000491533286469803e+01 2.001312083990828938e+01 2.007129498877164053e+01 2.375471280637637150e+01
1.300000000000000044e+00 2.000367134589371432e+01 2.000578322821684196e+01 2.001468197409699812e+01 2.007641521920524141e+01 2.373542140935507305e+01
1.400000000000000133e+00 2.000440767617324056e+01 2.000671001525178028e+01 2.001627766363067096e+01 2.008142691892373222e+01 2.371629776933596290e+01
1.500000000000000000e+00 2.000520685883344285e+01 2.000769332791070809e+01 2.001790552494762920e+01 2.008633326608105563e+01 2.369734002249597182e+01
